,address,historical_description_count,historical_word_count,lat,lng,map_url,name,total_description_count,total_word_count,url,viewport,0
????,"Taiwan Coal Mine Museum, Pingxi District, New Taipei City, Taiwan 226",0,0,25.052778,121.773611,https://maps.google.com/?q=Taiwan+Coal+Mine+Museum&ftid=0x345d50fb1de95ceb:0x4376d6dfba20bc0a,Taiwan Coal Mine Museum,101,2960,https://zh.wikipedia.org/wiki/%E5%8F%B0%E7%81%A3%E7%85%A4%E7%A4%A6,,0.0
????,Taiwan,0,0,22.6768103,120.3066935,https://maps.google.com/?cid=14000593105869315195,Ecological District,329,6343,https://zh.wikipedia.org/wiki/%E5%8F%B0%E7%81%A3%E7%94%9F%E6%85%8B,,0.0
????,"No. 105, Section 2, Dongda Rd, North District, Hsinchu City, Taiwan 300",0,0,24.8141532,120.9668039,https://maps.google.com/?cid=14060522465639048524,Military Community Museum,337,7669,https://zh.wikipedia.org/wiki/%E7%9C%B7%E6%9D%91,,0.0
??????,"No. 1, Diantai St, North District, Taichung City, Taiwan 404",0,0,24.1499417,120.6906634,https://maps.google.com/?cid=16770154897070958430,Taichung Broadcasting Bureau,10,119,https://zh.wikipedia.org/wiki/%E8%87%BA%E7%81%A3%E6%AD%B7%E5%8F%B2%E5%BB%BA%E7%AF%89,,0.0
?????,"No. 19?, Tangchang St, Guangfu Township, Hualien County, Taiwan 976",0,0,23.6565239,121.420286,https://maps.google.com/?cid=2626365880682065142,?????,90,4438,https://zh.wikipedia.org/wiki/%E8%87%BA%E7%81%A3%E7%B3%96%E6%A5%AD%E5%8F%B2,,0.0
????,"No. 15, Fuzhou St, Zhongzheng District, Taipei City, Taiwan 100",0,0,25.0279028,121.5168443,https://maps.google.com/?cid=8676072479902300151,Commerce Industrial Services Portal,214,4763,https://zh.wikipedia.org/wiki/%E8%87%BA%E7%81%A3%E7%B6%93%E6%BF%9F,,0.0
???????????,"No. 2?, Section 1, Changsha St, Zhongzheng District, Taipei City, Taiwan 100",0,0,25.0399941,121.5108119,https://maps.google.com/?cid=13494740943713190834,???????????,6,176,https://zh.wikipedia.org/wiki/%E8%87%BA%E7%81%A3%E7%B8%BD%E7%9D%A3%E5%BA%9C%E4%BA%A4%E9%80%9A%E5%B1%80%E9%81%9E%E4%BF%A1%E9%83%A8,,0.0
???????????,"No. 1?, Section 1, Yanping N Rd, Datong District, Taipei City, Taiwan 103",0,0,25.048754,121.510948,https://maps.google.com/?cid=14813418316360212022,???????????(??????????????????????????),115,1583,https://zh.wikipedia.org/wiki/%E8%87%BA%E7%81%A3%E7%B8%BD%E7%9D%A3%E5%BA%9C%E4%BA%A4%E9%80%9A%E5%B1%80%E9%90%B5%E9%81%93%E9%83%A8,,0.0
????????,"No. 2, Xiangyang Rd, Zhongzheng District, Taipei City, Taiwan 100",0,0,25.042754,121.515034,https://maps.google.com/?cid=746007216145012758,National Taiwan Museum,185,3276,https://zh.wikipedia.org/wiki/%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%8D%9A%E7%89%A9%E9%A4%A8,,0.0
??????????,"No. 168?, Bo'ai Rd, Zhongzheng District, Taipei City, Taiwan 100",0,0,25.039177,121.51098,https://maps.google.com/?cid=3995140817907200030,??????????,18,239,https://zh.wikipedia.org/wiki/%E8%87%BA%E7%81%A3%E7%B8%BD%E7%9D%A3%E5%BA%9C%E9%9B%BB%E8%A9%B1%E4%BA%A4%E6%8F%9B%E5%B1%80,,0.0
????,"No. 122, Section 1, Chongqing S Rd, Zhongzheng District, Taipei City, Taiwan 100",0,0,25.04,121.511944,https://maps.google.com/?cid=182234988661852153,ROC Presidential Office,158,3409,https://zh.wikipedia.org/wiki/%E4%B8%AD%E8%8F%AF%E6%B0%91%E5%9C%8B%E7%B8%BD%E7%B5%B1,,0.0
????,"823, Taiwan, ????????",0,0,22.895451,120.398566,"https://maps.google.com/?q=823,+Taiwan,+%E9%AB%98%E9%9B%84%E5%B8%82%E7%94%B0%E5%AF%AE%E5%8D%80%E6%B0%B4%E5%BA%AB&ftid=0x346e6cf87cc6374d:0xae3343ad6b2107f6",??,59,1209,https://zh.wikipedia.org/wiki/%E8%87%BA%E7%81%A3%E6%B0%B4%E5%BA%AB,"{'northeast': {'lng': 120.4145734, 'lat': 22.9057295}, 'southwest': {'lng': 120.3825586, 'lat': 22.8851717}}",0.0
?????,"4 Chome-1 Mizusawaku ?temachi, ?sh?-shi, Iwate-ken 023-0053, Japan",0,0,39.14500810000001,141.1404592,https://maps.google.com/?cid=3779474685068867420,???????,122,2838,https://zh.wikipedia.org/wiki/%E5%BE%8C%E8%97%A4%E6%96%B0%E5%B9%B3,,0.0
????,"Nangang District, Taipei City, Taiwan 115",0,0,25.03305499999999,121.6099888,https://maps.google.com/?cid=12116900302092550474,?????,185,4673,https://zh.wikipedia.org/wiki/%E4%B8%AD%E8%8F%AF%E6%B0%91%E5%9C%8B%E5%AA%92%E9%AB%94,,0.0
????,"No. 101?, Section 2, Fuxing Rd, Yilan City, Yilan County, Taiwan 260",0,0,24.7492413,121.7451819,https://maps.google.com/?cid=17132945142557713618,Taiwan Theater Museum,43,1202,https://zh.wikipedia.org/wiki/%E5%8F%B0%E7%81%A3%E6%88%B2%E5%8A%87,,0.0
????????????,"?, No. 64, Guilin Rd, Wanhua District, Taipei City, Taiwan 108",0,0,25.03808859999999,121.5026129,https://maps.google.com/?cid=4054091647362630199,L?os?ng Elementary School,102,1533,https://zh.wikipedia.org/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E8%90%AC%E8%8F%AF%E5%8D%80%E8%80%81%E6%9D%BE%E5%9C%8B%E6%B0%91%E5%B0%8F%E5%AD%B8,,0.0
