,address,historical_description_count,historical_word_count,lat,lng,map_url,name,total_description_count,total_word_count,url,viewport,0
???,"Hsinchu County, Taiwan",30,2073,24.8387226,121.0177246,"https://maps.google.com/?q=Hsinchu+County,+Taiwan&ftid=0x3468412ca1674fd5:0x4061145f0e1f1fc9",Hsinchu County,167,4477,https://zh.wikipedia.org/wiki/%E6%96%B0%E7%AB%B9%E7%B8%A3,"{'southwest': {'lat': 24.4275283, 'lng': 120.9320809}, 'northeast': {'lat': 24.9463725, 'lng': 121.4123306}}",155.49325655489858
???,"No. 43, Nanyao Rd, Changhua City, Changhua County, Taiwan 500",23,2135,24.0676865,120.538547,https://maps.google.com/?cid=17722308929893834177,Changhua South Yao Palace,191,5705,https://zh.wikipedia.org/wiki/%E5%8D%97%E7%91%A4%E5%AE%AE,,155.23647939714817
????????,"No. 4?, Lane 76, Section 2, Heping E Rd, Da?an District, Taipei City, Taiwan 106",36,2274,25.02422499999999,121.5391529,https://maps.google.com/?cid=16813700273552430559,????????,363,10620,https://zh.wikipedia.org/wiki/%E9%BE%8D%E5%AE%89%E5%9D%A1%E9%BB%83%E5%AE%85%E6%BF%82%E8%AE%93%E5%B1%85,,152.3254645475506
??????,Taiwan,36,1947,25.072099,121.515655,https://maps.google.com/?cid=13716256472567572176,??????,139,3418,https://zh.wikipedia.org/wiki/%E5%A4%A7%E9%BE%8D%E5%B3%92%E4%BF%9D%E5%AE%89%E5%AE%AE,,151.70658667650758
?????,"No. 1, Diantai St, North District, Taichung City, Taiwan 404",26,1825,24.1499417,120.6906634,https://maps.google.com/?cid=16770154897070958430,Taichung Broadcasting Bureau,83,2404,https://zh.wikipedia.org/wiki/%E8%87%BA%E4%B8%AD%E5%B8%82%E6%AD%B7%E5%8F%B2,,151.6749399277072
?????,"No. 218, Section 2, Guiyang St, Wanhua District, Taipei City, Taiwan 108",20,1732,25.0399145,121.499573,https://maps.google.com/?cid=1464788554475252896,?????/ Bangka Qingshan Temple,62,2910,https://zh.wikipedia.org/wiki/%E8%89%8B%E8%88%BA%E9%9D%92%E5%B1%B1%E5%AE%AE,,144.7569868902012
?????,"No. 170?, Jisheng Rd, Xuejia District, Tainan City, Taiwan 726",27,1929,23.2336949,120.1804966,https://maps.google.com/?cid=5571322721494502446,?????????????,192,4894,https://zh.wikipedia.org/wiki/%E5%AD%B8%E7%94%B2%E6%85%88%E6%BF%9F%E5%AE%AE,,142.2208198192757
????,"No. 22, Lane 61, Tianxiang Rd, Zhongshan District, Taipei City, Taiwan 104",25,2061,25.0633537,121.5216139,https://maps.google.com/?cid=11022209181667844437,???????,311,9443,https://zh.wikipedia.org/wiki/%E8%87%BA%E7%81%A3%E4%BA%BA%E6%AC%8A,,140.0674775783695
????,"Fuxing Rd, Xindian District, New Taipei City, Taiwan 231",26,1776,24.9878828,121.5327732,https://maps.google.com/?cid=9984002412436637842,????,118,3376,https://zh.wikipedia.org/wiki/%E5%8F%B0%E7%81%A3%E8%BB%8D%E4%BA%8B,,139.74266200926206
?????,"No. 110, Tonghua St, Da?an District, Taipei City, Taiwan 106",17,1808,25.0294696,121.5539354,https://maps.google.com/?cid=4169616821603736281,???,152,3628,https://zh.wikipedia.org/wiki/%E5%8F%B0%E7%81%A3%E9%80%9A%E8%A8%8A%E6%A5%AD,,138.0450978715415
